Date,"Coal Richards Bay 4800kcal NAR fob, London close, USD/t","Coal Richards Bay 5500kcal NAR fob, London close, USD/t","Coal Richards Bay 5700kcal NAR fob, London close, USD/t","Coal Richards Bay 6000kcal NAR fob current week avg, No time stamp, USD/t","Coal India 5500kcal NAR cfr, London close, USD/t",Crude Oil_Price,Brent Oil_Price,Dubai Crude_Price,Dutch TTF_Price,Natural Gas_Price
2021-04-09,49.82,67.88,82.89,95.95,81.99,59.35,62.95,61.19,18.94,2.605
2021-04-12,49.82,67.88,82.89,95.95,81.99,59.75,63.28,61.3,19.65,2.643
2021-04-13,49.82,67.88,82.89,95.95,81.99,60.24,63.67,61.53,19.51,2.696
2021-04-14,49.82,67.88,82.89,95.95,81.99,63.22,66.58,63.26,19.68,2.693
2021-04-15,49.82,67.88,82.89,95.95,81.99,63.51,66.94,63.48,20.26,2.73
2021-04-16,48.63,65.73,82.91,89.92,78.66,63.19,66.77,63.42,20.54,2.754
2021-04-19,48.63,65.73,82.91,89.92,78.66,63.43,67.05,63.47,20.94,2.818
2021-04-20,48.63,65.73,82.91,89.92,78.66,62.67,66.57,63.23,21.065,2.803
2021-04-21,48.63,65.73,82.91,89.92,78.66,61.27,65.32,62.71,21.11,2.776
2021-04-22,48.63,65.73,82.91,89.92,78.66,61.34,65.4,62.68,21.37,2.831
